Country,Code,2010,2011,2012,2013,2014,Average
Afghanistan,AFG,20.60000038,20.89999962,19.70000076,21.10000038,20.79999924,20.62000008
Angola,AGO,10.80000019,10.69999981,10.69999981,10.60000038,10.5,10.66000004
Albania,ALB,25.79999924,27,28.29999924,28.70000076,29.20000076,27.8
Arab World,ARB,25.02221416,28.11751567,29.11321202,29.33530604,29.70456912,28.2585634
United Arab Emirates,ARE,9.800000191,9.800000191,9.800000191,9.899999619,10,9.860000038
Argentina,ARG,19.5,18.79999924,18.39999962,19.70000076,21.29999924,19.53999977
Armenia,ARM,38.29999924,38.70000076,35,32.5,35.09999847,35.91999969
Australia,AUS,11.39999962,11.39999962,11.69999981,12.19999981,13.10000038,11.95999985
Austria,AUT,8.800000191,8.199999809,8.699999809,9.100000382,9.199999809,8.8
Azerbaijan,AZE,14.60000038,14.5,14.30000019,13.39999962,13.60000038,14.08000011
Burundi,BDI,10.80000019,10.80000019,10.80000019,10.80000019,10.69999981,10.78000011
Belgium,BEL,22.5,18.60000038,19.70000076,23.10000038,23.60000038,21.50000038
Benin,BEN,2,2,2,1.799999952,1.700000048,1.9
Burkina Faso,BFA,5.199999809,5.300000191,5.199999809,5.199999809,5,5.179999924
Bangladesh,BGD,8.199999809,8.199999809,8.199999809,8.899999619,9.100000382,8.519999886
Bulgaria,BGR,22.89999962,25.20000076,28.20000076,29.70000076,25.89999962,26.3800003
Bahrain,BHR,10.19999981,11.39999962,10.5,10.60000038,10.89999962,10.71999989
"Bahamas, The",BHS,36,27.20000076,30.39999962,30.79999924,30.10000038,30.9
Bosnia and Herzegovina,BIH,57.20000076,57.09999847,61.70000076,57.40000153,57.5,58.1800003
Belarus,BLR,13.19999981,12.5,11.80000019,12,12,12.3
Belize,BLZ,20.89999962,24.29999924,26,22.39999962,22,23.1199997
Bolivia,BOL,6,5.5,5.5,5.099999905,5.199999809,5.459999943
Brazil,BRA,17.20000076,15.19999981,14.39999962,14.69999981,15.19999981,15.33999996
Barbados,BRB,25.29999924,25.5,26.5,26.20000076,26.79999924,26.05999985
Brunei Darussalam,BRN,10.89999962,10.89999962,11,11.30000019,11.10000038,11.03999996
Bhutan,BTN,8.399999619,8.399999619,6.400000095,10.39999962,10,8.719999791
Botswana,BWA,33,33.20000076,33.29999924,32.79999924,33.90000153,33.24000015
Central African Republic,CAF,10.80000019,10.80000019,10.69999981,12,11.89999962,11.23999996
Canada,CAN,14.80000019,14.10000038,14.30000019,13.80000019,13.39999962,14.08000011
Central Europe and the Baltics,CEB,24.55851044,25.48077081,26.32247092,26.77545896,24.32673518,25.49278926
Switzerland,CHE,7.699999809,7.599999905,8.5,8.800000191,8.699999809,8.259999943
Chile,CHL,18.60000038,17.60000038,16.20000076,16.10000038,16.39999962,16.9800003
China,CHN,9,9.300000191,9.699999809,10.10000038,10.5,9.720000076
Cote d'Ivoire,CIV,6.199999809,6.300000191,6,6,5.800000191,6.060000038
Cameroon,CMR,6.400000095,6.400000095,6.400000095,6.300000191,6.699999809,6.440000057
"Congo, Rep.",COG,10.60000038,10.80000019,10.80000019,10.80000019,10.69999981,10.74000015
