,Entity,GDPgrowth.2003,GDPgrowth.2004,GDPgrowth.2005,GDPgrowth.2006,GDPgrowth.2007,GDPgrowth.2008,GDPgrowth.2009,GDPgrowth.2010,GDPgrowth.2011,GDPgrowth.2012,GDPgrowth.2013,GDPgrowth.2014,GDPgrowth.2015,GDPgrowth.2016,GDPgrowth.2017,GDPgrowth.1981,GDPgrowth.1982,GDPgrowth.1983,GDPgrowth.1984,GDPgrowth.1985,GDPgrowth.1986,GDPgrowth.1987,GDPgrowth.1988,GDPgrowth.1989,GDPgrowth.1990,GDPgrowth.1991,GDPgrowth.1992,GDPgrowth.1993,GDPgrowth.1994,GDPgrowth.1995,GDPgrowth.1996,GDPgrowth.1997,GDPgrowth.1998,GDPgrowth.1999,GDPgrowth.2000,GDPgrowth.2001,GDPgrowth.2002,GDPgrowth.1961,GDPgrowth.1962,GDPgrowth.1963,GDPgrowth.1964,GDPgrowth.1965,GDPgrowth.1966,GDPgrowth.1967,GDPgrowth.1968,GDPgrowth.1969,GDPgrowth.1970,GDPgrowth.1971,GDPgrowth.1972,GDPgrowth.1973,GDPgrowth.1974,GDPgrowth.1975,GDPgrowth.1976,GDPgrowth.1977,GDPgrowth.1978,GDPgrowth.1979,GDPgrowth.1980,AverageGDP
1,Afghanistan,3.343150039,-3.361110893,6.954473818,2.200612989,10.64918383,1.040489085,17.951089,5.425967848,2.87964757,10.75025221,0.512509234,-0.526844937,-1.628298135,-0.349412121,0.071666099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.727558376
16,Albania,6.16998247,6.152274487,6.263275587,6.098291609,6.703337826,4.560117915,4.051449403,4.226218994,2.826409979,1.587602059,1.185969096,1.985307816,2.516852808,3.517531232,3.936912883,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-29.16327149,-6.635518685,10.27078613,8.96687739,14.00202422,9.780180454,-10.27846136,9.697045988,14.22231692,7.34863863,8.958087716,4.544405735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.612502392
53,Algeria,5.850520833,2.943232296,4.452752236,0.210971674,1.799196896,0.713952801,-0.101599762,1.763682018,0.930355173,1.321109306,0.696353667,1.733280904,1.790253965,1.431403437,-0.052730145,-0.129456185,3.13164697,2.159856012,2.389800677,0.611630511,-2.517517775,-3.509143504,-3.711752354,1.646415312,-1.746785531,-3.588531856,-0.547389546,-4.232193259,-2.912566121,1.853423793,2.305087245,-0.508245296,3.544786287,1.758011109,2.427875701,1.676475844,4.279453027,-15.7262892,-21.64509963,31.00794513,3.163862554,3.422966539,-7.396121934,6.38817729,7.65083934,5.366432224,5.828007274,-13.76222588,23.96858578,1.006177923,4.566004262,2.140967344,5.35310442,2.283856964,6.083678663,4.335917658,-2.216549966,1.433050055
110,American Samoa,0.155853114,0.288979994,-0.155634548,-3.401960784,3.278954291,-1.122713232,-2.869663016,1.507615499,0.868398308,-4.236589224,-2.891893615,0.708165714,1.065742541,-2.728006298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.680910804
124,Andorra,7.366656546,3.324673509,3.825117605,1.794873028,-2.007177578,-9.874044945,-4.375954796,-5.344256802,-3.85184552,-0.039744005,2.392514348,4.298113762,2.404977175,2.855529171,2.291463752,-3.948745552,-2.931372609,-2.595335898,-2.598351728,-2.023786568,-1.001824036,1.325672934,0.97048769,0.801682525,-0.142614682,-1.366129581,-2.87054458,-4.412622893,-0.403571698,0.869722421,3.820477136,9.123624337,3.492427355,3.730359531,1.913451853,1.517844707,2.354988636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.603684765,2.788907252,2.672409324,1.010490232,-3.33802602,-0.18117565,-0.280692815,-1.442215406,-3.064448989,-1.330760035,0.147181653
171,Angola,0.931398415,6.368053132,16.65990205,14.82046663,18.87579676,9.832697419,-1.175597203,-0.175344168,0.230111586,1.499648172,3.135078649,1.117470531,-0.471271613,-4.098055833,-2.561034463,-7.653439052,-3.523726811,0.534102177,2.433853481,0.263786141,-0.03967203,1.325048476,3.403304222,-2.608189201,-6.180495375,-2.08183704,-8.850816497,-26.45263861,-1.864292147,11.55303698,10.34822176,4.382887478,1.886630523,-0.672253718,-0.024041122,0.878294114,9.853362978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.402714778
208,Antigua and Barbuda,4.810139862,4.581538226,5.224918407,11.42022209,7.968121775,-1.216003895,-13.1434878,-8.258791785,-3.16146476,2.375038781,-1.17311619,3.984750585,2.968827497,4.257367279,2.274423597,4.349151768,0.768300151,6.553857125,11.58869584,9.098436313,13.07041693,8.141409738,6.44806295,5.933139192,2.90507561,1.249331115,-0.497413796,3.005511334,4.027102125,-6.827837236,3.772942599,2.607066797,1.961247782,1.198556698,4.4541057,-6.600060908,-0.391730844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.744427384,7.779880179,8.288091498,2.988506243
248,Arab World,3.077170674,6.95214531,3.348131559,4.014657436,2.05126727,3.236465499,-1.935868065,2.291481405,1.22782551,4.291237149,0.866009638,0.262691673,1.135283666,0.9398678,-0.770408387,-0.532145097,-11.79675606,-9.404885972,-1.952985401,-5.049180083,1.428350862,-3.462374656,2.633006517,-0.678365996,9.139972624,-1.144668454,2.924476742,0.537370254,0.64814167,-0.303072626,2.182190891,1.979286712,2.967978078,-0.236822865,3.179182113,-0.486386473,-1.470379777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.32309235,5.0359137,-4.027127725,7.980670622,5.655759675,1.168052375
290,Argentina,7.643794185,7.849106146,7.69268852,6.918027086,7.885851981,2.995167422,-6.880148575,8.99143796,4.902125244,-2.060574637,1.338452934,-3.514195982,1.698944824,-2.784592111,1.879661216,-7.134997709,-6.434328983,2.250238253,0.619319826,-9.009513139,6.23805756,1.36853798,-3.994374792,-8.838132385,-3.789115675,11.09415299,10.40666248,4.491865975,4.46663129,-4.057600675,4.260870624,6.861143328,2.68214197,-4.457046577,-1.885010517,-5.465113906,-11.87718049,3.747272986,-2.410453735,-6.771625636,8.464397201,8.934658915,-2.089312313,1.736490265,3.339587227,8.077918766,1.467827617,3.952346284,-0.07958247,1.056567923,3.759641824,-1.648657519,-3.536158716,5.337159335,-5.903559551,8.603164283,2.590354225,1.245280536
347,Armenia,14.64886278,11.10084075,14.60487652,14.06880742,14.73596617,7.812918694,-13.56639792,2.600408784,4.762989356,6.964131302,2.886337179,3.146882343,2.820378822,-0.069477877,7.29332355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.8708692,-40.74445044,-6.6383804,7.949829927,9.103492511,7.506971651,4.479543336,8.142264625,3.957685313,6.570295524,10.23657283,13.81149513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.974640692
